level,word,choice_1,choice_2,choice_3,answer,explanation,status
5,recondite,widely known,difficult to understand,quickly forgotten,2,Recondite means obscure or difficult to understand.,approved
5,perspicacious,having keen insight,unwilling to move,pleasantly ordinary,1,Perspicacious means able to notice and understand things quickly.,approved
5,obdurate,stubbornly refusing to change,quietly generous,briefly successful,1,Obdurate means stubborn and resistant to persuasion.,approved
5,aporia,a state of puzzlement or unresolved contradiction,lack of state of puzzlement or unresolved contradiction,a personal reaction connected to state of puzzlement or unresolved contradiction,1,Aporia means a state of puzzlement or unresolved contradiction.,approved
5,apothegm,a short memorable saying,lack of short memorable saying,a written record concerning short memorable saying,1,Apothegm means a short memorable saying.,approved
5,ataraxia,calm freedom from emotional disturbance,control or restriction,a personal reaction connected to calm freedom from emotional disturbance,1,Ataraxia means calm freedom from emotional disturbance.,approved
5,autarky,economic self-sufficiency,lack of economic self-sufficiency,a social situation shaped by economic self-sufficiency,1,Autarky means economic self-sufficiency.,approved
5,cathexis,emotional investment in an idea or object,lack of emotional investment in an idea or object,a rule used when dealing with emotional investment in an idea or object,1,Cathexis means emotional investment in an idea or object.,approved
5,chthonic,related to the underworld or earth,lack of related to the underworld or earth,a public discussion about related to the underworld or earth,1,Chthonic means related to the underworld or earth.,approved
5,eidolon,an image phantom or idealized figure,lack of image phantom or idealized figure,a public discussion about image phantom or idealized figure,1,Eidolon means an image phantom or idealized figure.,approved
5,episteme,a system of knowledge or understanding,lack of system of knowledge or understanding,a personal reaction connected to system of knowledge or understanding,1,Episteme means a system of knowledge or understanding.,approved
5,eudaemonia,human flourishing or well-being,lack of human flourishing or well-being,a social situation shaped by human flourishing or well-being,1,Eudaemonia means human flourishing or well-being.,approved
5,haecceity,the unique thisness of a thing,lack of unique thisness of a thing,a public discussion about unique thisness of a thing,1,Haecceity means the unique thisness of a thing.,approved
5,hylozoism,the belief that matter is in some sense alive,doubt or refusal to accept,a long-term result caused by matter is in some sense alive,1,Hylozoism means the belief that matter is in some sense alive.,approved
5,liminality,a transitional state between stages,lack of transitional state between stages,a public discussion about transitional state between stages,1,Liminality means a transitional state between stages.,approved
5,noesis,intellectual perception or understanding,lack of intellectual perception or understanding,a public discussion about intellectual perception or understanding,1,Noesis means intellectual perception or understanding.,approved
5,numen,a divine presence or spirit,lack of divine presence or spirit,a rule used when dealing with divine presence or spirit,1,Numen means a divine presence or spirit.,approved
5,numinousness,the quality of inspiring spiritual awe,lack of quality of inspiring spiritual awe,a formal decision about quality of inspiring spiritual awe,1,Numinousness means the quality of inspiring spiritual awe.,approved
5,ontotheology,the linking of being with theological explanation,lack of linking of being with theological explanation,a public discussion about linking of being with theological explanation,1,Ontotheology means the linking of being with theological explanation.,approved
5,palimpsest,a reused surface bearing traces of earlier writing,lack of reused surface bearing traces of earlier writing,a social situation shaped by reused surface bearing traces of earlier writing,1,Palimpsest means a reused surface bearing traces of earlier writing.,approved
5,parousia,the presence or expected return of Christ,lack of presence or expected return of Christ,a rule used when dealing with presence or expected return of Christ,1,Parousia means the presence or expected return of Christ.,approved
5,perichoresis,mutual indwelling within Trinitarian theology,lack of mutual indwelling within Trinitarian theology,a social situation shaped by mutual indwelling within Trinitarian theology,1,Perichoresis means mutual indwelling within Trinitarian theology.,approved
5,prolegomenon,a preliminary discussion or introduction,lack of preliminary discussion or introduction,a long-term result caused by preliminary discussion or introduction,1,Prolegomenon means a preliminary discussion or introduction.,approved
