level,word,choice_1,choice_2,choice_3,answer,explanation,status
2,improve,to make better,to make louder,to make shorter,1,Improve means to make something better.,approved
2,request,a sudden mistake,an act of asking,a fixed schedule,2,A request is an act of asking for something.,approved
2,support,to help or hold up,to refuse strongly,to arrive late,1,Support means to help someone or something.,approved
2,allocate,to divide and give for a purpose,to hide from public view,to arrive without a plan,1,Allocate means to set apart resources for a purpose.,approved
2,amaze,to surprise very much,to clean carefully,to arrive early,1,Amaze means to surprise someone very much.,approved
2,appoint,to choose someone for a job,to clean a surface,to lose control,1,Appoint means to officially choose someone for a role.,approved
2,associate,to connect in your mind,to stop a machine,to pay too much,1,Associate means to connect one thing with another.,approved
2,attribute,to say something is caused by,to travel across water,to make smaller,1,Attribute means to regard something as caused by someone or something.,approved
2,authorize,to give official permission,to ask a simple question,to forget details,1,Authorize means to give official permission.,approved
2,award,to give a prize or honor,to delay a meeting,to damage a tool,1,Award means to give a prize or official honor.,approved
2,blame,to say someone is responsible for a problem,to finish a meal,to speak quietly,1,Blame means to say someone caused something bad.,approved
2,characterize,to describe the main qualities of,to buy at a low price,to move into a house,1,Characterize means to describe the typical qualities of something.,approved
2,collect,to gather things together,to answer angrily,to sleep lightly,1,Collect means to gather things together.,approved
2,comply,to follow a rule or request,to create a drawing,to run quickly,1,Comply means to act according to a rule or request.,approved
2,confuse,to make someone unable to understand,to open officially,to earn money,1,Confuse means to make someone uncertain or unable to understand.,approved
2,congratulate,to praise someone for success,to push something away,to clean carefully,1,Congratulate means to tell someone you are happy about their success.,approved
2,convince,to make someone believe or agree,to replace with a copy,to cook with heat,1,Convince means to make someone believe or agree.,approved
2,demonstrate,to show clearly,to keep secret,to drive slowly,1,Demonstrate means to show how something works or prove something clearly.,approved
2,determine,to find out or decide,to smell strongly,to ask twice,1,Determine means to decide or discover something after thinking.,approved
2,develop,to grow or improve over time,to close permanently,to borrow money,1,Develop means to grow or make something more advanced.,approved
2,disclose,to make information known,to hold tightly,to move backward,1,Disclose means to make information known.,approved
2,engage,to take part or become involved,to finish early,to wash again,1,Engage means to take part in something or attract attention.,approved
2,equip,to provide with needed tools,to refuse advice,to arrive late,1,Equip means to provide someone or something with what is needed.,approved
2,establish,to start or create officially,to break by accident,to speak too softly,1,Establish means to start or create something in a lasting way.,approved
2,estimate,to guess based on information,to explain every detail,to stop suddenly,1,Estimate means to make an approximate judgment or calculation.,approved
2,facilitate,to make easier,to make colder,to make illegal,1,Facilitate means to make an action or process easier.,approved
2,furnish,to provide furniture or equipment,to argue loudly,to leave quickly,1,Furnish means to provide a room or place with furniture or equipment.,approved
2,gain,to get or increase,to clean with soap,to hide carefully,1,Gain means to get more of something.,approved
2,grant,to give officially,to forget completely,to taste carefully,1,Grant means to give something officially.,approved
2,identify,to recognize or name,to break into parts,to run away,1,Identify means to recognize or name someone or something.,approved
2,implement,to put a plan into action,to make a loud sound,to sleep longer,1,Implement means to put a plan or decision into action.,approved
2,impose,to force a rule or burden on someone,to answer politely,to move freely,1,Impose means to force someone to accept a rule or burden.,approved
2,include,to have as a part,to remove completely,to paint brightly,1,Include means to have something as part of a whole.,approved
2,increase,to become or make larger,to return home,to write badly,1,Increase means to become or make greater in size or amount.,approved
2,inform,to give information to,to stop helping,to make dirty,1,Inform means to give someone information.,approved
2,insist,to say firmly,to cook slowly,to look away,1,Insist means to say something firmly and not accept refusal.,approved
2,interpret,to explain the meaning of,to close a file,to buy in bulk,1,Interpret means to explain or understand the meaning of something.,approved
2,interrupt,to stop someone while they are speaking or doing something,to organize neatly,to travel safely,1,Interrupt means to stop someone in the middle of an action or speech.,approved
2,introduce,to present someone or something for the first time,to hide in a room,to win easily,1,Introduce means to present someone or something new.,approved
2,involve,to include as a necessary part,to finish without help,to clean with water,1,Involve means to include or require as part of something.,approved
2,issue,to officially give or announce,to repair a machine,to sleep late,1,Issue means to officially give or announce something.,approved
2,launch,to start or introduce officially,to lose suddenly,to rest quietly,1,Launch means to start something new or send something into motion.,approved
2,maintain,to keep in good condition or continue,to spend quickly,to change names,1,Maintain means to keep something working or continuing.,approved
