level,word,choice_1,choice_2,choice_3,answer,explanation,status
4,meticulous,very careful and detailed,easily forgotten,open to many people,1,Meticulous means showing great attention to detail.,approved
4,ambivalent,having mixed feelings,extremely old,quick to forgive,1,Ambivalent means having conflicting feelings about something.,approved
4,resilient,able to recover,hard to see,morally wrong,1,Resilient means able to recover after difficulty.,approved
4,absolution,release from guilt blame or punishment,continued blame or punishment,a personal reaction connected to release from guilt blame or punishment,1,Absolution means release from guilt blame or punishment.,approved
4,adversity,serious difficulty or misfortune,easy success or good fortune,a public discussion about serious difficulty or misfortune,1,Adversity means serious difficulty or misfortune.,approved
4,affinity,a natural liking or close connection,strong dislike or distance,a public discussion about natural liking or close connection,1,Affinity means a natural liking or close connection.,approved
4,agitation,anxiety excitement or public disturbance,calm order and public peace,a public discussion about anxiety excitement or public disturbance,1,Agitation means anxiety excitement or public disturbance.,approved
4,altruism,unselfish concern for others,selfish disregard for others,a long-term result caused by unselfish concern for others,1,Altruism means unselfish concern for others.,approved
4,ambiguity,unclear meaning or more than one possible meaning,clear meaning with only one interpretation,a social situation shaped by unclear meaning or more than one possible meaning,1,Ambiguity means unclear meaning or more than one possible meaning.,approved
4,animosity,strong hostility or dislike,warm friendliness or support,a careful judgment involving strong hostility or dislike,1,Animosity means strong hostility or dislike.,approved
4,apathy,lack of interest or concern,strong interest and active concern,a written record concerning lack of interest or concern,1,Apathy means lack of interest or concern.,approved
4,aptitude,natural ability or talent,lack of natural skill,a public discussion about natural ability or talent,1,Aptitude means natural ability or talent.,approved
4,arbitrariness,the quality of lacking a clear reason or principle,confusion or lack of clear understanding,a careful judgment involving quality of lacking a clear reason or principle,1,Arbitrariness means the quality of lacking a clear reason or principle.,approved
4,assertion,a confident statement,a doubtful or hesitant statement,a long-term result caused by confident statement,1,Assertion means a confident statement.,approved
4,attrition,gradual reduction through loss or wear,gradual growth or renewal,a formal decision about gradual reduction through loss or wear,1,Attrition means gradual reduction through loss or wear.,approved
4,belligerence,aggressive or hostile behavior,peaceful and friendly behavior,a written record concerning aggressive or hostile behavior,1,Belligerence means aggressive or hostile behavior.,approved
4,candor,honesty and directness,dishonesty and evasiveness,a written record concerning honesty and directness,1,Candor means honesty and directness.,approved
4,cessation,the act of stopping,the act of continuing or beginning,a personal reaction connected to act of stopping,1,Cessation means the act of stopping.,approved
4,coercion,the use of force or threats to make someone act,lack of use of force or threats to make someone act,a social situation shaped by use of force or threats to make someone act,1,Coercion means the use of force or threats to make someone act.,approved
4,coherence,logical clarity and connection,confusion and lack of connection,a social situation shaped by logical clarity and connection,1,Coherence means logical clarity and connection.,approved
4,complacency,self-satisfaction that prevents concern or effort,humble concern that encourages effort,a social situation shaped by self-satisfaction that prevents concern or effort,1,Complacency means self-satisfaction that prevents concern or effort.,approved
4,concession,something given up to reach agreement,clear disagreement or refusal to cooperate,a social situation shaped by something given up to reach agreement,1,Concession means something given up to reach agreement.,approved
4,connotation,an implied meaning or feeling associated with a word,lack of implied meaning or feeling associated with a word,a personal reaction connected to implied meaning or feeling associated with a word,1,Connotation means an implied meaning or feeling associated with a word.,approved
4,consensus,general agreement,open disagreement,a social situation shaped by general agreement,1,Consensus means general agreement.,approved
4,consternation,sudden alarm or confusion,calm confidence,a formal decision about sudden alarm or confusion,1,Consternation means sudden alarm or confusion.,approved
4,contention,disagreement or a disputed claim,agreement or an accepted claim,a social situation shaped by disagreement or a disputed claim,1,Contention means disagreement or a disputed claim.,approved
4,contingency,a possible future event that may require action,lack of possible future event that may require action,a long-term result caused by possible future event that may require action,1,Contingency means a possible future event that may require action.,approved
4,contrivance,something cleverly planned or artificial,lack of something cleverly planned or artificial,a personal reaction connected to something cleverly planned or artificial,1,Contrivance means something cleverly planned or artificial.,approved
4,conviction,a strong belief or legal finding of guilt,strong doubt or legal acquittal,a written record concerning strong belief or legal finding of guilt,1,Conviction means a strong belief or legal finding of guilt.,approved
4,corroboration,evidence that supports a claim,lack of evidence that supports a claim,a personal reaction connected to evidence that supports a claim,1,Corroboration means evidence that supports a claim.,approved
4,credibility,the quality of being believable or trusted,lack of quality of being believable or trusted,a public discussion about quality of being believable or trusted,1,Credibility means the quality of being believable or trusted.,approved
4,cynicism,distrust of people's motives,lack of distrust of people's motives,a written record concerning distrust of people's motives,1,Cynicism means distrust of people's motives.,approved
4,debacle,a complete failure or disaster,lack of complete failure or disaster,a formal decision about complete failure or disaster,1,Debacle means a complete failure or disaster.,approved
4,deference,respectful submission to another's judgment,lack of respectful submission to another's judgment,a personal reaction connected to respectful submission to another's judgment,1,Deference means respectful submission to another's judgment.,approved
4,deficiency,a lack or shortage,lack of lack or shortage,a written record concerning lack or shortage,1,Deficiency means a lack or shortage.,approved
4,deliberation,careful thought or discussion,lack of careful thought or discussion,a rule used when dealing with careful thought or discussion,1,Deliberation means careful thought or discussion.,approved
4,denouncement,public condemnation,lack of public condemnation,a rule used when dealing with public condemnation,1,Denouncement means public condemnation.,approved
4,deprivation,lack of something necessary,strong presence of something necessary,a written record concerning lack of something necessary,1,Deprivation means lack of something necessary.,approved
4,derision,mockery or ridicule,lack of mockery or ridicule,a public discussion about mockery or ridicule,1,Derision means mockery or ridicule.,approved
4,deterrence,prevention through fear of consequences,lack of prevention through fear of consequences,a careful judgment involving prevention through fear of consequences,1,Deterrence means prevention through fear of consequences.,approved
4,dexterity,skill in using the hands or mind,inability or lack of skill,a social situation shaped by skill in using the hands or mind,1,Dexterity means skill in using the hands or mind.,approved
4,dichotomy,a division into two contrasting parts,lack of division into two contrasting parts,a written record concerning division into two contrasting parts,1,Dichotomy means a division into two contrasting parts.,approved
4,dilemma,a difficult choice between options,lack of difficult choice between options,a long-term result caused by difficult choice between options,1,Dilemma means a difficult choice between options.,approved
4,disillusionment,loss of belief after disappointment,doubt or refusal to accept,a careful judgment involving loss of belief after disappointment,1,Disillusionment means loss of belief after disappointment.,approved
4,disparity,a significant difference or inequality,lack of significant difference or inequality,a social situation shaped by significant difference or inequality,1,Disparity means a significant difference or inequality.,approved
4,dissension,disagreement within a group,clear disagreement or refusal to cooperate,a formal decision about disagreement within a group,1,Dissension means disagreement within a group.,approved
4,divergence,movement away from similarity or agreement,clear disagreement or refusal to cooperate,a long-term result caused by movement away from similarity or agreement,1,Divergence means movement away from similarity or agreement.,approved
4,eclecticism,selection from many different sources or styles,lack of selection from many different sources or styles,a formal decision about selection from many different sources or styles,1,Eclecticism means selection from many different sources or styles.,approved
4,efficacy,the ability to produce the desired result,inability or lack of skill,a personal reaction connected to ability to produce the desired result,1,Efficacy means the ability to produce the desired result.,approved
4,eloquence,clear persuasive expression,confusion or lack of clear understanding,a rule used when dealing with clear persuasive expression,1,Eloquence means clear persuasive expression.,approved
4,emancipation,freedom from control or oppression,control or restriction,a public discussion about freedom from control or oppression,1,Emancipation means freedom from control or oppression.,approved
4,empathy,the ability to understand another's feelings,inability or lack of skill,a long-term result caused by ability to understand another's feelings,1,Empathy means the ability to understand another's feelings.,approved
4,endowment,a gift of money or a natural quality,lack of gift of money or a natural quality,a long-term result caused by gift of money or a natural quality,1,Endowment means a gift of money or a natural quality.,approved
4,enmity,deep hostility,friendliness or warm approval,a written record concerning deep hostility,1,Enmity means deep hostility.,approved
4,equivocation,unclear language used to avoid commitment,confusion or lack of clear understanding,a rule used when dealing with unclear language used to avoid commitment,1,Equivocation means unclear language used to avoid commitment.,approved
4,estrangement,the state of being emotionally separated,lack of state of being emotionally separated,a formal decision about state of being emotionally separated,1,Estrangement means the state of being emotionally separated.,approved
4,ethics,moral principles,lack of moral principles,a rule used when dealing with moral principles,1,Ethics means moral principles.,approved
