level,word,choice_1,choice_2,choice_3,answer,explanation,status
1,happy,sad,glad,angry,2,Happy means feeling glad or pleased.,approved
1,cold,not warm,very fast,full of light,1,Cold means having a low temperature.,approved
1,walk,to eat quickly,to move on foot,to sleep deeply,2,Walk means to move using your feet at a regular pace.,approved
1,achieve,to get something by effort,to sleep for a long time,to draw a picture,1,Achieve means to get something by working for it.,approved
1,allow,to stop someone,to let someone do something,to write a letter,2,Allow means to let someone do something.,approved
1,appear,to become visible,to drink water,to clean a room,1,Appear means to become visible or be seen.,approved
1,apply,to use or ask officially,to run very fast,to close a door,1,Apply means to use something or ask for something officially.,approved
1,arrive,to lose a bag,to reach a place,to cook food,2,Arrive means to reach a place.,approved
1,ask,to sleep deeply,to move slowly,to say a question,3,Ask means to say a question.,approved
1,avoid,to stay away from,to buy something,to speak loudly,1,Avoid means to stay away from someone or something.,approved
1,become,to start to be,to open a box,to hit a ball,1,Become means to start to be something.,approved
1,begin,to finish early,to start doing something,to share food,2,Begin means to start.,approved
1,believe,to think something is true,to clean the floor,to carry a bag,1,Believe means to think that something is true.,approved
1,break,to make something separate or stop working,to answer a question,to visit a friend,1,Break means to damage something or make it stop working.,approved
1,bring,to take something to someone,to forget a name,to sleep late,1,Bring means to take something with you to a place or person.,approved
1,build,to make something,to smell food,to ask a question,1,Build means to make something by putting parts together.,approved
1,buy,to read a book,to get something by paying money,to teach a class,2,Buy means to get something by paying money.,approved
1,call,to phone or name someone,to wash clothes,to lose money,1,Call means to phone someone or give a name to someone.,approved
1,change,to make or become different,to stay in bed,to taste soup,1,Change means to make something different or become different.,approved
1,check,to look to make sure,to drive a car,to grow taller,1,Check means to look at something to make sure it is right.,approved
1,clean,to make not dirty,to move very fast,to forget something,1,Clean means to make something not dirty.,approved
1,complete,to start a trip,to finish something,to smell flowers,2,Complete means to finish something.,approved
1,continue,to stop forever,to keep going,to break a cup,2,Continue means to keep doing something.,approved
1,cook,to make food with heat,to write your name,to leave a room,1,Cook means to make food using heat.,approved
1,cover,to put something over,to spend money,to learn a song,1,Cover means to put something over something else.,approved
1,create,to make something new,to sit quietly,to pay money,1,Create means to make something new.,approved
1,decide,to choose after thinking,to smell bad,to close your eyes,1,Decide means to choose what to do.,approved
1,describe,to say what something is like,to sleep at night,to pull a rope,1,Describe means to say what someone or something is like.,approved
1,discover,to find something new,to work slowly,to send a letter,1,Discover means to find something for the first time.,approved
1,discuss,to open a window,to talk about something,to taste food,2,Discuss means to talk about something with others.,approved
1,drive,to control a car,to clean a desk,to read quietly,1,Drive means to control a car or other vehicle.,approved
1,earn,to get money for work,to lose a game,to smell smoke,1,Earn means to get money by working.,approved
1,end,to stop or finish,to begin a meal,to bring a book,1,End means to stop or finish.,approved
1,exercise,to move your body for health,to write a story,to buy a ticket,1,Exercise means to move your body to stay healthy.,approved
1,expect,to think something will happen,to wash your hands,to open a gift,1,Expect means to think something will happen.,approved
1,experience,to have something happen to you,to cook rice,to turn left,1,Experience means to have something happen to you.,approved
1,explain,to make something clear,to carry a chair,to win a race,1,Explain means to make something easy to understand.,approved
